title,type,location,area_of_apt,no_of_bedrooms,no_of_bathrooms,Amenities,price,link
Townhouse for sale in The Island New Capital,Townhouse,"The Islands, New Capital City, Cairo",244,3,4,"['Maids Room', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water']",19880142,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-the-islands-7574321.html
apartment in rhodes in a very attractive price ,Apartment,"Rhodes, New Capital Compounds, New Capital City, Cairo",187,3,3,"['Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",3900000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-rhodes-7574297.html
apartment in rhodes in a very attractive price ,Apartment,"Rhodes, New Capital Compounds, New Capital City, Cairo",187,3,3,"['Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",3500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-rhodes-7574295.html
Delivered Twin house Prime location in La vista city,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",285,3,3,"['Balcony', 'Security', 'Walk-in Closet']",23000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7574281.html
CAPITAL GARDENS Compound – PALM HILLS 205sqm,Apartment,"Capital Gardens Compound, New Capital Compounds, New Capital City, Cairo",206,3,3,"['Study', 'Central A/C', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym']",5850000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-capital-gardens-compound-7574264.html
studio in park lane in an attractive price ,Apartment,"Park Lane, New Capital Compounds, New Capital City, Cairo",92,1,2,"['Study', 'Central A/C', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",3200000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-park-lane-7574069.html
شقة استلام فوري في كمبوند المقصد بارك بالعاصمه ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",170,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances']",4600000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7573960.html
elapartment in oia ready to move ,Apartment,"Oia, New Capital Compounds, New Capital City, Cairo",165,3,3,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",4500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-oia-7573939.html
استلم دوبلكس ارضي بجاردن في العاصمه واطول سداد,Apartment,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",296,4,4,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",13258000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7573926.html
Apartment with Garden in The Island New Capital,Apartment,"The Islands, New Capital City, Cairo",175,3,3,"['Private Garden', 'Shared Pool', 'Security', 'Covered Parking', 'View of Water', 'Shared Gym', ""Children's Pool""]",9194402,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-the-islands-7573829.html
amazing apartment in new garden city ready to move,Apartment,"New Garden City, New Capital Compounds, New Capital City, Cairo",156,2,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Lobby in Building', ""Children's Pool""]",10600000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-new-garden-city-7573778.html
Duplex in The Island New Capital over 10 Years,Duplex,"The Islands, New Capital City, Cairo",239,3,4,"['Maids Room', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Water', 'Shared Gym', ""Children's Pool""]",10032680,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-the-islands-7573625.html
160m Apt in Celia – Custom Finish – For Sale,Apartment,"Celia, New Capital Compounds, New Capital City, Cairo",160,3,3,"['Balcony', 'Security']",4631000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-celia-7573346.html
130 sqm resale apartment in Midtown Condo,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",130,2,1,"['Balcony', 'Walk-in Closet', 'Lobby in Building']",1500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7572704.html
شقه للبيع استلام فوري متشطبه بمقدم 10٪ واقساط ل 10,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",185,3,3,"['Balcony', 'Security', 'Covered Parking']",4649000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7572175.html
Get Apt at Half price Prime Location in NewCapital,Apartment,"Boardwalk, New Capital City, Cairo",127,2,2,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",4400000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-boardwalk-7571724.html
شقه للبيع بفيو مميز في ارمونيا العاصمه R7,Apartment,"Armonia, New Capital Compounds, New Capital City, Cairo",206,3,3,"['Central A/C', 'Balcony', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances']",10000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-armonia-7571694.html
بمقدم10% وتقسيط علي 10 سنوات امتلك شقتك في العاصمه,Apartment,"Armonia, New Capital Compounds, New Capital City, Cairo",76,1,1,"['Maids Room', 'Central A/C', 'Balcony', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances']",4220000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-armonia-7571691.html
