title,type,location,area_of_apt,no_of_bedrooms,no_of_bathrooms,Amenities,price,link
3BEDROOMS At Lowest Price in New Capital Over10Y,Apartment,"Suli Golf Residence, New Capital Compounds, New Capital City, Cairo",175,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",7500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-suli-golf-residence-7297803.html
"Minutes from the Green River, lowest price, instal",Apartment,"Jnoub, New Capital Compounds, New Capital City, Cairo",137,3,2,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",3288000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-jnoub-7297673.html
Old Price Fully Finished Apt RTM  Al Maqsad Compou,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",134,3,2,"['Study', 'Balcony', 'Security', 'Walk-in Closet', 'View of Landmark', 'Lobby in Building']",4000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7297564.html
"with garden, lowest price in Capital, 5y installme",Apartment,"Jnoub, New Capital Compounds, New Capital City, Cairo",119,2,2,"['Balcony', 'Private Garden', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",3368000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-jnoub-7297452.html
"Lowest price per meter in Capital, 10% DP",Apartment,"Jnoub, New Capital Compounds, New Capital City, Cairo",130,3,2,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",3120000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-jnoub-7296977.html
شقة 160م للبيع بكمبوند ilbosco بمقدم 650 الف فقط,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",140,2,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",9550000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7295470.html
شقة للبيع بكمبوند دي جويا بالعاصمة بمقدم 750 الف,Apartment,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",155,3,1,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",7550000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7295252.html
"Apartment for sale, immediate delivery ",Apartment,"The City, New Capital Compounds, New Capital City, Cairo",145,3,2,"['Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",4335000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-the-city-7295084.html
FOR SALE DUPLEX 383M+GARDEN/DP 1M/CITY OVAL,Duplex,"City Oval, New Capital Compounds, New Capital City, Cairo",383,5,4,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",7130000,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-city-oval-7294457.html
Apartment for sale in Oia Compound in R7,Apartment,"Oia, New Capital Compounds, New Capital City, Cairo",165,3,2,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'Shared Gym', 'Lobby in Building']",7425000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-oia-7294302.html
townhouse Corner resale on club house ready tomove,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",379,4,4,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Security', 'Walk-in Closet', 'Lobby in Building']",7500000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7292973.html
Resale-Unit with lowest downpayment-Mamsha views,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",171,6,5,"['Study', 'Central A/C', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water']",5710162,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7292711.html
Town House for Sale Ready to Move,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",240,4,4,"['Maids Room', 'Balcony', 'Private Garden', 'Security', 'Covered Parking']",15300000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7292696.html
Apartment 155m Lagoon View in Lumia ONLY 10% DP,Apartment,"Lumia Residence, R7, New Capital City, Cairo",155,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",5890000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r7-lumia-residence-7292642.html
Apartment Finished Ready To Move+Showing Over10Y,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",161,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",4100000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7292090.html
Apartment in Maqsad at a special price,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",134,3,2,"['Balcony', 'Walk-in Closet', 'View of Landmark', 'Shared Gym']",3871000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7292048.html
Apartment with old contract and immediate rent in ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",150,3,3,"['Balcony', 'Security', 'View of Landmark', 'Shared Gym']",2725380,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7291667.html
RTM Villa RESALE LANDSCAPE View with Lowest Price,Villa,"Midtown Solo, New Capital Compounds, New Capital City, Cairo",350,5,6,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym']",16000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-solo-7291541.html
"Apartment for sale, 115 m, immediate delivery ",Apartment,"The City, New Capital Compounds, New Capital City, Cairo",115,2,1,"['Shared Pool', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",3273000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-the-city-7291532.html
شقة للبيع في المقصد استلام فوري,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",163,3,3,"['Balcony', 'View of Landmark']",2909000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7291412.html
Immediate apartment for sale at the lowest price i,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Balcony', 'Security', 'View of Landmark', 'Shared Gym']",4028000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7291204.html
"Apartment for sale, two rooms, at the lowest price",Apartment,"City Oval, New Capital Compounds, New Capital City, Cairo",93,2,1,"['Balcony', 'Security', 'Built in Wardrobes', 'Lobby in Building']",2212000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-city-oval-7291090.html
The cheapest apartment for immediate deliv. maqsed,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",170,3,3,"['Balcony', 'Security', 'View of Landmark', 'Shared Gym']",5430000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7290361.html
Apartment 3bed Next to BUE in STAU Over 7 Years,Apartment,"Stau, New Capital Compounds, New Capital City, Cairo",136,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",3614000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-stau-7290237.html
"Apart sale DeJoya,panoramic view,tourist promenade",Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo",179,3,2,"['Balcony', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Lobby in Building', ""Children's Pool""]",7460000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-7290202.html
Villa sale DeJoya4 bargain price and over 10 years,Villa,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",288,4,3,"['Maids Room', 'Study', 'Balcony', 'Security', 'Covered Parking', 'View of Water', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",11820000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7289946.html
Apartment for sale with installments over 10YRs ,Apartment,"City Oval, New Capital Compounds, New Capital City, Cairo",98,2,1,"['Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",2212000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-city-oval-7289937.html
Apartment RTM At Lowest Price in New Capital 20%Dp,Apartment,"Green Avenue, New Capital Compounds, New Capital City, Cairo",172,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",7740000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-green-avenue-7289779.html
Receive your apartment immediately in the Administ,Apartment,"The City, New Capital Compounds, New Capital City, Cairo",145,3,2,"['Balcony', 'Private Garden', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",8670000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-the-city-7289671.html
"Apartment 115m for sale, immediate delivery ",Apartment,"The City, New Capital Compounds, New Capital City, Cairo",115,2,1,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",6540000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-the-city-7289618.html
Apartment 3BR Finished RTM in New Capital Over10Y,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",158,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",6200000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7289168.html
Townhouse for immediate delivery for sale in Maqsd,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",377,3,3,"['Balcony', 'Security', 'View of Landmark', 'Shared Gym']",13842000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7289120.html
Town House Villa in New Capital R5 super lux ,Townhouse,"R5, New Capital City, Cairo",246,4,4,"['Balcony', 'Security', 'View of Landmark']",1150000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-r5-7288825.html
"Apartment for immediate sale, old contract and low",Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",181,3,3,"['Balcony', 'Security', 'View of Landmark', 'Shared Gym']",5215000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7288527.html
Apartment for immediate delivery in Al Maqsad Park,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",169,3,3,"['Balcony', 'Security', 'View of Landmark', 'Shared Gym']",6135000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7288469.html
"Apartment for immediate delivery in Maqsad, ",Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",168,3,3,"['Balcony', 'View of Landmark', 'Shared Gym']",5585000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7288408.html
Town House Fully Finished Under Market Price,Villa,"Celia, New Capital Compounds, New Capital City, Cairo",393,4,5,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark']",15800000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-celia-7288318.html
Apartment Ground Lagoon View in New Capital |10%DP,Apartment,"Lumia Residence, R7, New Capital City, Cairo",137,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",6019000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r7-lumia-residence-7287160.html
4BEDROOMS Ready For Showing in New Capital | 10%DP,Apartment,"La Verde Casette, New Capital Compounds, New Capital City, Cairo",255,4,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",11930000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-la-verde-casette-7287108.html
Apartment RTM Finished Prime Location in R3|5%DP,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",157,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",5900000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7286844.html
The Largest Villa in MAQSAD Ready to move Finished,Villa,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",464,6,6,"['Maids Room', 'Balcony', 'Private Garden', 'Shared Spa', 'Security', 'Shared Gym']",31500000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7286794.html
شقة للبيع لقطة في ديجويا 4 بحري موقع استراتيجي ,Apartment,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",264,4,3,"['Balcony', 'Security', 'View of Landmark', 'Lobby in Building']",9012000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7286628.html
Apartment RTM Prime Location in New Capital Over5Y,Apartment,"Rhodes, New Capital Compounds, New Capital City, Cairo",133,2,2,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",4800000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-rhodes-7286578.html
Apartment Finished For Invest in GardenCity 1.2%Dp,Apartment,"New Garden City, New Capital Compounds, New Capital City, Cairo",89,1,1,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",5000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-new-garden-city-7286482.html
Duplex Ready For Showing in New Capital Over7Years,Duplex,"Stau, New Capital Compounds, New Capital City, Cairo",440,4,4,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",8800000,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-stau-7286430.html
"Apartment for sale Al Maqsad,typical floor, inish",Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",157,3,2,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",5967000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7286418.html
